modelnumber,genre,maker,thumbnail,image,manual,productname,releasedate
A1660,スマートフォン,apple,https://km.support.apple.com.edgekey.net/resources/sites/APPLE/content/live/IMAGES/0/IM853/en_US/iphone7-120.png,"https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP743/iphone7-jetblack.png, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP743/iphone7-gold.png, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP743/iphone7-black.png, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP743/iphone7-rosegold.png, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP743/iphone7-silver.png",https://help.apple.com/iphone/10/?lang=ja,iPhone 7,
A1778,スマートフォン,apple,https://km.support.apple.com.edgekey.net/resources/sites/APPLE/content/live/IMAGES/0/IM853/en_US/iphone7-120.png,"https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP743/iphone7-jetblack.png, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP743/iphone7-gold.png, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP743/iphone7-black.png, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP743/iphone7-rosegold.png, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP743/iphone7-silver.png",https://help.apple.com/iphone/10/?lang=ja,iPhone 7,
A1779,スマートフォン,apple,https://km.support.apple.com.edgekey.net/resources/sites/APPLE/content/live/IMAGES/0/IM853/en_US/iphone7-120.png,"https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP743/iphone7-jetblack.png, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP743/iphone7-gold.png, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP743/iphone7-black.png, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP743/iphone7-rosegold.png, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP743/iphone7-silver.png",https://help.apple.com/iphone/10/?lang=ja,iPhone 7,
A1661,スマートフォン,apple,https://km.support.apple.com.edgekey.net/resources/sites/APPLE/content/live/IMAGES/0/IM854/en_US/iphone7-plus-120.png,"https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP744/iphone7-plus-jetblack.png, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP744/iphone7-plus-gold.png, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP744/iphone7-plus-black.png, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP744/iphone7-plus-rosegold.png, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP744/iphone7-plus-silver.png",https://help.apple.com/iphone/10/?lang=ja,iPhone 7 Plus,
A1784,スマートフォン,apple,https://km.support.apple.com.edgekey.net/resources/sites/APPLE/content/live/IMAGES/0/IM854/en_US/iphone7-plus-120.png,"https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP744/iphone7-plus-jetblack.png, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP744/iphone7-plus-gold.png, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP744/iphone7-plus-black.png, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP744/iphone7-plus-rosegold.png, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP744/iphone7-plus-silver.png",https://help.apple.com/iphone/10/?lang=ja,iPhone 7 Plus,
A1785,スマートフォン,apple,https://km.support.apple.com.edgekey.net/resources/sites/APPLE/content/live/IMAGES/0/IM854/en_US/iphone7-plus-120.png,"https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP744/iphone7-plus-jetblack.png, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP744/iphone7-plus-gold.png, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP744/iphone7-plus-black.png, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP744/iphone7-plus-rosegold.png, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP744/iphone7-plus-silver.png",https://help.apple.com/iphone/10/?lang=ja,iPhone 7 Plus,
A1633,スマートフォン,apple,https://km.support.apple.com.edgekey.net/resources/sites/APPLE/content/live/IMAGES/0/IM826/en_US/iPhone6sPlus-ios10-120.png,"https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP726/SP726-iphone6s-silver-select-2015.png, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP726/SP726-iphone6s-gold-select-2015.png, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP726/SP726-iphone6s-gray-select-2015.png, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP726/SP726-iphone6s-rosegold-select-2015.png",https://help.apple.com/iphone/10/?lang=ja,iPhone 6s,
A1688,スマートフォン,apple,https://km.support.apple.com.edgekey.net/resources/sites/APPLE/content/live/IMAGES/0/IM826/en_US/iPhone6sPlus-ios10-120.png,"https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP726/SP726-iphone6s-silver-select-2015.png, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP726/SP726-iphone6s-gold-select-2015.png, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP726/SP726-iphone6s-gray-select-2015.png, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP726/SP726-iphone6s-rosegold-select-2015.png",https://help.apple.com/iphone/10/?lang=ja,iPhone 6s,
A1700,スマートフォン,apple,https://km.support.apple.com.edgekey.net/resources/sites/APPLE/content/live/IMAGES/0/IM826/en_US/iPhone6sPlus-ios10-120.png,"https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP726/SP726-iphone6s-silver-select-2015.png, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP726/SP726-iphone6s-gold-select-2015.png, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP726/SP726-iphone6s-gray-select-2015.png, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP726/SP726-iphone6s-rosegold-select-2015.png",https://help.apple.com/iphone/10/?lang=ja,iPhone 6s,
A1634,スマートフォン,apple,https://km.support.apple.com.edgekey.net/resources/sites/APPLE/content/live/IMAGES/0/IM827/en_US/iPhone6sPlus-ios10-120.png,"https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP727/SP727-iphone6s-plus-silver-select-2015.png, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP727/SP727-iphone6s-plus-gold-select-2015.png, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP727/SP727-iphone6s-plus-gray-select-2015.png, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP727/SP727-iphone6s-plus-rosegold-select-2015.png",https://help.apple.com/iphone/10/?lang=ja,iPhone 6s Plus,
